Loaded plugins: langpacks, presto, refresh-packagekit
Installed Packages
binutils.x86_64                            2.23.51.0.1-6.fc18           @updates
biosdevname.x86_64                         0.4.1-2.fc18                 @koji-override-0/$releasever
bison.x86_64                               2.6.1-1.fc18                 @fedora 
bluez.x86_64                               4.101-6.fc18                 @updates
bluez-cups.x86_64                          4.101-6.fc18                 @updates
bluez-libs.x86_64                          4.101-6.fc18                 @updates
boost-chrono.x86_64                        1.50.0-5.fc18                @updates
boost-date-time.x86_64                     1.50.0-5.fc18                @updates
boost-system.x86_64                        1.50.0-5.fc18                @updates
boost-thread.x86_64                        1.50.0-5.fc18                @updates
brasero.x86_64                             3.6.1-1.fc18                 @koji-override-0/$releasever
brasero-libs.x86_64                        3.6.1-1.fc18                 @koji-override-0/$releasever
brasero-nautilus.x86_64                    3.6.1-1.fc18                 @koji-override-0/$releasever
bridge-utils.x86_64                        1.5-4.fc18                   @koji-override-0/$releasever
brlapi.x86_64                              0.5.6-12.fc18                @updates
brltty.x86_64                              4.3-12.fc18                  @updates
btparser.x86_64                            0.25-1.fc18                  @updates
btrfs-progs.x86_64                         0.20.rc1.20121017git91d9eec-3.fc18
                                                                        @updates
bzip2.x86_64                               1.0.6-7.fc18                 @koji-override-0/$releasever
bzip2-libs.x86_64                          1.0.6-7.fc18                 @koji-override-0/$releasever
c-ares.x86_64                              1.9.1-2.fc18                 @koji-override-0/$releasever
ca-certificates.noarch                     2012.87-1.fc18               @updates
cairo.x86_64                               1.12.14-1.fc18               @updates
cairo-gobject.x86_64                       1.12.14-1.fc18               @updates
cairomm.x86_64                             1.10.0-5.fc18                @koji-override-0/$releasever
caribou.x86_64                             0.4.4.2-7.fc18               @updates
caribou-gtk2-module.x86_64                 0.4.4.2-7.fc18               @updates
caribou-gtk3-module.x86_64                 0.4.4.2-7.fc18               @updates
cdparanoia.x86_64                          10.2-12.fc18                 @koji-override-0/$releasever
cdparanoia-libs.x86_64                     10.2-12.fc18                 @koji-override-0/$releasever
cdrdao.x86_64                              1.2.3-16.fc18                @koji-override-0/$releasever
celt.x86_64                                0.11.1-4.fc18                @fedora 
celt051.x86_64                             0.5.1.3-5.fc18               @koji-override-0/$releasever
ceph-libs.x86_64                           0.56.3-1.fc18                @updates
checkpolicy.x86_64                         2.1.12-3.fc18                @updates
cheese.x86_64                              2:3.6.2-1.fc18               @koji-override-0/$releasever
cheese-libs.x86_64                         2:3.6.2-1.fc18               @koji-override-0/$releasever
chkconfig.x86_64                           1.3.59-2.fc18                @koji-override-0/$releasever
chrony.x86_64                              1.27-0.5.pre1.git1ca844.fc18 @koji-override-0/$releasever
cifs-utils.x86_64                          6.0-1.fc18                   @updates
cjkuni-uming-fonts.noarch                  0.2.20080216.1-51.fc18       @updates
cloog-ppl.x86_64                           0.15.11-4.fc18.1             @fedora 
clucene-contribs-lib.x86_64                2.3.3.4-7.fc18               @koji-override-0/$releasever
clucene-core.x86_64                        2.3.3.4-7.fc18               @koji-override-0/$releasever
clutter.x86_64                             1.12.2-1.fc18                @koji-override-0/$releasever
clutter-gst.x86_64                         1.6.0-3.fc18                 @koji-override-0/$releasever
clutter-gst2.x86_64                        1.9.92-1.fc18                @koji-override-0/$releasever
clutter-gtk.x86_64                         1.4.2-1.fc18                 @updates
cogl.x86_64                                1.12.2-1.fc18                @updates
color-filesystem.noarch                    1-10                         @koji-override-0/$releasever
colord.x86_64                              0.1.31-1.fc18                @updates
colord-gtk.x86_64                          0.1.24-1.fc18                @updates
colord-libs.x86_64                         0.1.31-1.fc18                @updates
compat-readline5.x86_64                    5.2-20.fc18                  @koji-override-0/$releasever
comps-extras.noarch                        21-2.fc18                    @updates
control-center.x86_64                      1:3.6.3-1.fc18               @koji-override-0/$releasever
control-center-filesystem.x86_64           1:3.6.3-1.fc18               @koji-override-0/$releasever
coreutils.x86_64                           8.17-8.fc18                  @updates
corosync.x86_64                            2.3.0-1.fc18                 @updates
corosynclib.x86_64                         2.3.0-1.fc18                 @updates
cpio.x86_64                                2.11-12.fc18                 @koji-override-0/$releasever
cpp.x86_64                                 4.7.2-8.fc18                 @fedora 
cracklib.x86_64                            2.8.22-2.fc18                @koji-override-0/$releasever
cracklib-dicts.x86_64                      2.8.22-2.fc18                @koji-override-0/$releasever
crash.x86_64                               6.1.4-1.fc18                 @updates
crda.x86_64                                1.1.3_2013.02.13-2.fc18      @updates
createrepo.noarch                          0.9.9-13.fc18                @updates
cronie.x86_64                              1.4.10-1.fc18                @koji-override-0/$releasever
cronie-anacron.x86_64                      1.4.10-1.fc18                @koji-override-0/$releasever
crontabs.noarch                            1.11-4.20101115git.fc18      @koji-override-0/$releasever
cryptopp.x86_64                            5.6.2-2.fc18                 @updates
cryptsetup.x86_64                          1.6.1-1.fc18                 @updates
cryptsetup-libs.x86_64                     1.6.1-1.fc18                 @updates
cryptsetup-python.x86_64                   1.6.1-1.fc18                 @updates
cups.x86_64                                1:1.5.4-20.fc18              @updates
cups-libs.x86_64                           1:1.5.4-20.fc18              @updates
cups-pk-helper.x86_64                      0.2.4-1.fc18                 @koji-override-0/$releasever
curl.x86_64                                7.27.0-9.fc18                @updates
cyrus-sasl.x86_64                          2.1.23-37.fc18               @updates
cyrus-sasl-gssapi.x86_64                   2.1.23-37.fc18               @updates
cyrus-sasl-lib.x86_64                      2.1.23-37.fc18               @updates
cyrus-sasl-md5.x86_64                      2.1.23-37.fc18               @updates
cyrus-sasl-plain.x86_64                    2.1.23-37.fc18               @updates
dbus.x86_64                                1:1.6.8-2.fc18               @koji-override-0/$releasever
dbus-glib.x86_64                           0.100-1.fc18                 @koji-override-0/$releasever
dbus-libs.x86_64                           1:1.6.8-2.fc18               @koji-override-0/$releasever
dbus-python.x86_64                         1.1.1-3.fc18                 @updates
dbus-sharp.x86_64                          1:0.7.0-6.fc18               @fedora 
dbus-sharp-glib.x86_64                     0.5.0-4.fc18                 @fedora 
dbus-x11.x86_64                            1:1.6.8-2.fc18               @koji-override-0/$releasever
dconf.x86_64                               0.14.1-3.fc18                @koji-override-0/$releasever
deja-dup.x86_64                            26.0-1.fc18                  @updates
dejavu-fonts-common.noarch                 2.33-4.fc18                  @koji-override-0/$releasever
dejavu-sans-fonts.noarch                   2.33-4.fc18                  @koji-override-0/$releasever
dejavu-sans-mono-fonts.noarch              2.33-4.fc18                  @koji-override-0/$releasever
dejavu-serif-fonts.noarch                  2.33-4.fc18                  @koji-override-0/$releasever
deltarpm.x86_64                            3.6-0.11.20110223git.fc18    @koji-override-0/$releasever
desktop-backgrounds-gnome.noarch           18.0.0-1.fc18                @koji-override-0/$releasever
desktop-file-utils.x86_64                  0.21-1.fc18                  @koji-override-0/$releasever
device-mapper.x86_64                       1.02.77-4.fc18               @koji-override-0/$releasever
device-mapper-event.x86_64                 1.02.77-4.fc18               @koji-override-0/$releasever
device-mapper-event-libs.x86_64            1.02.77-4.fc18               @koji-override-0/$releasever
device-mapper-libs.x86_64                  1.02.77-4.fc18               @koji-override-0/$releasever
device-mapper-multipath.x86_64             0.4.9-36.fc18                @koji-override-0/$releasever
device-mapper-multipath-libs.x86_64        0.4.9-36.fc18                @koji-override-0/$releasever
device-mapper-persistent-data.x86_64       0.1.4-2.fc18                 @koji-override-0/$releasever
dhclient.x86_64                            12:4.2.5-7.fc18              @updates
dhcp-common.x86_64                         12:4.2.5-7.fc18              @updates
dhcp-libs.x86_64                           12:4.2.5-7.fc18              @updates
dialog.x86_64                              1.1-17.20120706.fc18         @koji-override-0/$releasever
diffutils.x86_64                           3.2-12.fc18                  @updates
dmidecode.x86_64                           1:2.12-2.fc18                @updates
dmraid.x86_64                              1.0.0.rc16-18.fc18           @updates
dmraid-events.x86_64                       1.0.0.rc16-18.fc18           @updates
dnsmasq.x86_64                             2.65-5.fc18                  @updates
dosfstools.x86_64                          3.0.16-3.fc18                @updates
dotconf.x86_64                             1.3-4.fc18                   @koji-override-0/$releasever
dracut.x86_64                              024-25.git20130205.fc18      @updates
dracut-network.x86_64                      024-25.git20130205.fc18      @updates
